#{"t_start": 1693592155.0142877, "env_id": null}
r,l,t
1559.0,500,28825.1732
1458.0,500,28826.30336
1608.0,500,28827.685089
834.0,500,28828.57628
1597.0,500,28834.708422
1924.0,500,28835.819276
1412.0,500,28837.279123
1414.0,500,28838.226263
1469.0,500,28844.647333
1495.0,500,29466.089386
1574.0,500,29467.562793
1671.0,500,29468.472815
2013.0,500,29474.713818
1590.0,500,29475.843935
837.0,500,29477.269439
1661.0,500,29478.195136
1808.0,500,29484.654383
1756.0,500,29485.800608
1337.0,500,29487.241183
1567.0,500,29488.167835
1619.0,500,29494.533094
1927.0,500,29495.647173
1961.0,500,29497.105397
1753.0,500,29498.030943
1690.0,500,29504.595719
1443.0,500,29505.807801
1322.0,500,30117.637925
1480.0,500,30118.550913
1508.0,500,30124.756906
1783.0,500,30125.869177
1367.0,500,30127.311419
1570.0,500,30128.221668
1333.0,500,30134.494598
1687.0,500,30135.67137
2334.0,500,30137.09615
1361.0,500,30138.006245
1492.0,500,30144.280042
2360.0,500,30145.375648
1274.0,500,30146.811381
1372.0,500,30147.712318
1590.0,500,30154.015128
1385.0,500,30155.208023
1584.0,500,30765.298538
1540.0,500,30766.174697
2455.0,500,30772.415858
1652.0,500,30773.543429
1361.0,500,30774.972582
1586.0,500,30775.880556
1383.0,500,30782.168984
1869.0,500,30783.282291
1329.0,500,30784.739834
1402.0,500,30785.650169
1020.0,500,30791.94713
1570.0,500,30793.050746
1196.0,500,30794.476461
1378.0,500,30795.420533
1694.0,500,30801.800508
1710.0,500,30802.929909
1863.0,500,30804.43381
1535.0,500,31423.133466
867.0,500,31429.655624
1501.0,500,31430.768687
1686.0,500,31432.205755
1588.0,500,31433.122674
1359.0,500,31439.408768
1428.0,500,31440.570492
1571.0,500,31442.027976
1616.0,500,31442.936423
1556.0,500,31449.177417
1660.0,500,31450.242914
1982.0,500,31451.672848
1859.0,500,31452.582636
1765.0,500,31458.698513
1431.0,500,31459.870315
1623.0,500,31461.328252
1384.0,500,31462.255726
1705.0,500,34662.626914
1542.0,500,34665.56352
1425.0,500,34667.749559
2118.0,500,34669.117784
1926.0,500,34678.726164
1746.0,500,34681.424169
1403.0,500,34683.616005
2132.0,500,34684.85817
1635.0,500,34693.84514
1963.0,500,34695.161386
1343.0,500,34696.992025
1356.0,500,34698.216975
1453.0,500,34707.005813
1586.0,500,34709.953984
1285.0,500,34712.116345
1378.0,500,34713.435577
1351.0,500,35989.195721
1593.0,500,35990.73057
1468.0,500,35992.766164
2417.0,500,35994.058865
1723.0,500,36003.321866
1340.0,500,36005.113329
1442.0,500,36007.322625
833.0,500,36008.68649
1318.0,500,36017.672483
1821.0,500,36019.263942
795.0,500,36021.323753
1664.0,500,36022.624794
1781.0,500,36030.891444
1584.0,500,36032.303934
1556.0,500,36034.181528
1290.0,500,36035.377726
1914.0,500,37038.274027
1581.0,500,37041.384283
1838.0,500,37045.554359
839.0,500,37048.203149
1345.0,500,37065.407579
1939.0,500,37068.661445
1345.0,500,37072.648278
1852.0,500,37075.117571
1900.0,500,37092.209148
2042.0,500,37095.331686
1782.0,500,37099.312
1450.0,500,37101.878891
1353.0,500,37117.371064
1978.0,500,37119.287125
2125.0,500,37122.048075
1990.0,500,37123.882852
1308.0,500,38927.16571
1612.0,500,38930.133489
2378.0,500,38933.987456
1677.0,500,38936.566342
1730.0,500,38953.851027
1960.0,500,38958.625538
1865.0,500,38962.496481
1575.0,500,38964.960419
1931.0,500,38982.356575
1593.0,500,38985.419329
2020.0,500,38989.487991
2090.0,500,38992.053532
2015.0,500,39009.414927
1890.0,500,39013.955168
1708.0,500,39017.759489
2284.0,500,39020.302688
2150.0,500,40841.34877
1737.0,500,40844.286267
1720.0,500,40847.958147
528.0,500,40850.395648
1385.0,500,40867.403353
2345.0,500,40869.970394
1392.0,500,40872.920323
1357.0,500,40874.986003
1635.0,500,40888.399159
2314.0,500,40891.091383
2109.0,500,40894.215206
1781.0,500,40896.361672
1982.0,500,40910.929469
1343.0,500,40915.493701
1859.0,500,40918.277308
2290.0,500,40920.361042
1576.0,500,42242.717638
1385.0,500,42244.889508
1873.0,500,42247.592637
1617.0,500,42249.46765
1775.0,500,42260.577762
1662.0,500,42263.219247
1569.0,500,42265.047356
1914.0,500,42266.187972
1471.0,500,42275.595264
1511.0,500,42277.767
1341.0,497,42280.610956
1957.0,500,42282.595314
1378.0,500,42295.335114
1510.0,500,42298.991669
1745.0,500,42301.91438
1880.0,500,42303.914433
1335.0,500,43267.635525
1609.0,500,43268.885743
835.0,500,43270.51145
1999.0,500,43271.699013
1869.0,500,43279.510947
2134.0,500,43281.009949
1850.0,500,43282.765546
1787.0,500,43284.009504
1765.0,500,43292.019014
2125.0,500,43293.386042
1894.0,500,43295.104593
2077.0,500,43296.354258
2216.0,500,43304.056924
1614.0,500,43306.119279
1438.0,500,43307.713935
1540.0,500,43308.85384
970.0,412,43314.283267
1525.0,495,44078.145906
1377.0,500,44079.889999
1899.0,500,44081.046167
2088.0,500,44086.598321
1558.0,500,44090.889214
1879.0,500,44092.783908
1469.0,478,44093.436104
1361.0,500,44099.62333
1469.0,500,44103.123149
1590.0,500,44104.991878
1464.0,500,44105.727094
2386.0,500,44112.078524
1359.0,500,44116.155226
1379.0,500,44117.919546
1627.0,500,44118.625514
1866.0,500,44125.171221
1530.0,500,44128.701971
1847.0,500,44910.626202
1905.0,500,44911.313609
1892.0,500,44917.556092
1690.0,500,44922.015876
2113.0,500,44923.95447
1581.0,500,44924.688564
1972.0,500,44932.000841
1910.0,500,44935.39082
1567.0,500,44937.280809
1830.0,500,44937.985562
2152.0,500,44944.744749
1712.0,500,44949.031753
1913.0,500,44950.876116
2107.0,500,44951.535033
1620.0,500,44957.829633
2562.0,500,44961.255331
1582.0,500,44963.168666
1584.0,500,45748.710269
2023.0,500,45754.95043
2364.0,500,45759.231641
1783.0,500,45761.06487
1376.0,500,45761.709757
1991.0,500,45767.792787
1367.0,500,45771.037782
1885.0,500,45772.810136
1857.0,500,45773.453445
1896.0,500,45779.740081
2390.0,500,45783.205199
1662.0,500,45785.090323
2610.0,500,45785.777144
2456.0,500,45792.175529
1369.0,500,45795.608747
1847.0,500,45797.459078
1902.0,500,45798.165543
2093.0,500,46572.455612
1376.0,488,46576.202022
1706.0,500,46578.210748
1369.0,500,46578.899334
2574.0,500,46585.045548
1753.0,500,46588.072307
1923.0,500,46590.205032
1861.0,500,46590.877907
2659.0,500,46597.136008
1805.0,500,46600.92906
1439.0,500,46603.015092
1610.0,500,46603.68901
2412.0,500,46609.81974
2124.0,500,46612.940525
1754.0,500,46615.073122
2405.0,500,46615.762686
2666.0,500,47779.986309
1371.0,500,47785.702945
1372.0,500,47788.712555
1468.0,500,47789.66656
2822.0,500,47800.297574
1592.0,500,47807.068887
1615.0,494,47811.529392
1995.0,500,47813.292161
1826.0,500,47826.927678
2128.0,500,47835.39307
1883.0,500,47839.68785
1376.0,493,47841.142791
2306.0,500,47855.217557
1950.0,500,47862.035653
1605.0,500,47866.464307
1538.0,484,47867.072665
2038.0,500,49733.444328
2103.0,500,49742.324106
2528.0,500,49746.677019
1766.0,500,49747.374358
1669.0,500,49762.104669
1582.0,500,49768.921127
1618.0,500,49773.284082
1907.0,500,49773.845714
1910.0,500,49788.385298
1270.0,500,49796.601499
2105.0,500,49799.587802
1618.0,500,49800.013074
2323.0,500,49810.105489
2108.0,500,49814.338562
1383.0,488,49818.389309
2227.0,500,49818.429309
2161.0,500,51650.723444
1384.0,500,51659.115054
1914.0,500,51663.278983
1959.0,500,51663.335292
2094.0,500,51677.595778
2122.0,500,51683.924143
1614.0,498,51686.894359
2679.0,500,51686.934429
1975.0,500,51696.944216
2538.0,500,51703.096229
1891.0,500,51707.118138
1791.0,500,51707.182109
1726.0,500,51722.411054
1763.0,500,51729.40791
2349.0,500,51733.776925
2250.0,500,51733.845591
1602.0,500,53504.833908
2597.0,500,53509.589626
1377.0,490,53511.715431
1736.0,500,53512.23898
1958.0,500,53528.295518
1605.0,500,53534.71526
1735.0,500,53538.322705
1614.0,500,53538.751456
1854.0,500,53553.530756
1895.0,500,53560.325854
1955.0,500,53563.787961
1862.0,500,53564.335224
2865.0,500,53579.691362
1374.0,500,53586.086771
1799.0,500,53589.595553
2107.0,500,53590.116626
832.0,500,53603.405277
1884.0,500,55074.049823
1450.0,493,55076.701851
1468.0,500,55077.61567
1734.0,500,55090.157684
1371.0,500,55095.942707
1923.0,500,55098.653132
1879.0,500,55099.380851
1741.0,500,55111.896755
1468.0,500,55117.764707
1445.0,498,55120.854637
1372.0,495,55121.394645
1959.0,500,55134.230916
1900.0,500,55139.872264
1361.0,488,55141.638322
1818.0,500,55142.762727
1994.0,500,55152.606184
